привет hello
мир world
яблоко apple
книга book
стол table
кот cat
собака dog
дом house
машина car
компьютер computer
друг friend
школа school
ручка pen
телефон phone
язык language
счастливый happy
грустный sad
красивый beautiful
еда food
вода water
любовь love
музыка music
ночь night
день day
утро morning
вечер evening
солнце sun
луна moon
небо sky
дождь rain
снег snow
дерево tree
цветок flower
город city
деревня village
гора mountain
река river
океан ocean
море sea
пляж beach
семья family
мать mother
отец father
брат brother
сестра sister
ребенок child
мужчина man
женщина woman
младенец baby
взрослый adult
хороший good
плохой bad
большой big
маленький small
быстрый fast
медленный slow
горячий hot
холодный cold
высокий high
низкий low
сильный strong
слабый weak
новый new
старый old
молодой young
умный smart
глупый stupid
богатый rich
бедный poor
трудный hard
легкий easy
чистый clean
грязный dirty
высокий tall
короткий short
длинный long
широкий wide
узкий narrow
ранний early
поздний late
да yes
нет no
пожалуйста please
извините sorry
спасибо thank you
до свидания goodbye
пить drink
есть eat
идти go
делать do
смотреть watch
слышать hear
говорить speak
понимать understand
работать work
спать sleep
читать read
пить drink
плавать swim
бегать run
сидеть sit
стоять stand
помогать help
любить love
играть play
петь sing
танцевать dance
веселый happy  
грусть sadness  
красота beauty  
вкусный tasty  
горький bitter  
сладкий sweet  
кислый sour  
соленый salty  
острый spicy  
мягкий soft  
твердый hard  
гладкий smooth  
шершавый rough  
тяжелый heavy  
легкий light  
пустой empty  
полный full  
дорогой expensive  
дешевый cheap  
открытый open  
закрытый closed  
правый right  
левый left  
близкий near  
далекий far  
быстрый quick  
медленный slow  
ранний early  
поздний late  
светлый light  
темный dark  
яркий bright  
тусклый dull  
влажный wet  
сухой dry  
шумный noisy  
тихий quiet  
свежий fresh  
испорченный spoiled  
чистый clean  
грязный dirty  
опасный dangerous  
безопасный safe  
здоровый healthy  
больной sick  
сильный strong  
слабый weak  
веселый cheerful  
грустный sad  
сердитый angry  
спокойный calm  
удивленный surprised  
испуганный scared  
усталый tired  
бодрый energetic  
голодный hungry  
сытый full  
жажда thirsty  
теплый warm  
прохладный cool  
живой alive  
мертвый dead  
натуральный natural  
искусственный artificial  
полезный useful  
бесполезный useless  
важный important  
неважный unimportant  
интересный interesting  
скучный boring  
сложный difficult  
простой simple  
верный correct  
неверный wrong  
холодный cold  
горячий hot  
мягкий gentle  
жесткий harsh  
добрый kind  
злой evil  
честный honest  
лживый dishonest  
щедрый generous  
жадный greedy  
смелый brave  
трусливый cowardly  
умный clever  
глупый stupid  
вежливый polite  
грубый rude  
счастливый lucky  
несчастный unlucky  
красный red  
синий blue  
зеленый green  
желтый yellow  
оранжевый orange  
фиолетовый purple  
розовый pink  
коричневый brown  
черный black  
белый white  
серый gray  
золотой gold  
серебряный silver  
медный copper  
бронзовый bronze  
круглый round  
квадратный square  
треугольный triangular  
овальный oval  
прямой straight  
кривой curved  
острый sharp  
тупой blunt  
глубокий deep  
мелкий shallow  
пушистый fluffy  
колючий prickly  
прозрачный transparent  
непрозрачный opaque  
блестящий shiny  
матовый matte  
липкий sticky  
скользкий slippery  
ароматный fragrant  
вонючий smelly  
вкусный delicious  
отвратительный disgusting  
сочный juicy  
сухой dry  
свежий crisp  
мягкий tender  
жесткий tough  
хрустящий crunchy  
мягкий mushy  
горячий boiling  
холодный freezing  
теплый lukewarm  
прохладный chilly  
влажный humid  
сухой arid  
ветреный windy  
безветреный calm  
дождливый rainy  
снежный snowy  
облачный cloudy  
ясный clear  
туманный foggy  
грозовой stormy  
солнечный sunny  
пасмурный gloomy  
мокрый soaked  
сухой parched  
грязный muddy  
пыльный dusty  
чистый spotless  
аккуратный neat  
беспорядочный messy  
прямой direct  
косвенный indirect  
честный fair  
нечестный unfair  
логичный logical  
нелогичный illogical  
возможный possible  
невозможный impossible  
вероятный likely  
маловероятный unlikely  
определенный certain  
неопределенный uncertain  
ясный clear  
неясный unclear  
точный accurate  
неточный inaccurate  
положительный positive  
отрицательный negative  
нейтральный neutral  
активный active  
пассивный passive  
гибкий flexible  
жесткий rigid  
подвижный mobile  
неподвижный immobile  
стабильный stable  
нестабильный unstable  
постоянный permanent  
временный temporary  
главный main  
второстепенный secondary  
основной primary  
дополнительный additional  
обычный usual  
необычный unusual  
стандартный standard  
нестандартный nonstandard  
традиционный traditional  
современный modern  
древний ancient  
новый new  
старый old  
молодой young  
зрелый mature  
незрелый immature  
опытный experienced  
неопытный inexperienced  
профессиональный professional  
любительский amateur  
официальный official  
неофициальный unofficial  
публичный public  
частный private  
открытый open  
секретный secret  
прямой honest  
скрытый hidden  
явный obvious  
неявный implicit  
прозрачный transparent  
непрозрачный opaque  
ясный clear  
мутный muddy  
чистый pure  
грязный dirty  
свежий fresh  
затхлый stale  
новый new  
бывший former  
нынешний current  
будущий future  
прошлый past  
настоящий present  
конечный final  
бесконечный endless  
начальный initial  
последний last  
первый first  
второй second  
третий third  
четвертый fourth  
пятый fifth  
шестой sixth  
седьмой seventh  
восьмой eighth  
девятый ninth  
десятый tenth
